Username,Emotion,Date,Time
aa,User under pressure,05-05-2022,19:39:06
,,,
aa,User under pressure,05-05-2022,19:39:06
,,,
aa,Happy User,05-05-2022,19:39:06
,,,
aa,User under pressure,05-05-2022,19:39:09
,,,
aa,User under pressure,05-05-2022,19:39:09
,,,
aa,Happy User,05-05-2022,19:39:09
,,,
aa,User under pressure,05-05-2022,19:39:13
,,,
aa,User under pressure,05-05-2022,19:39:13
,,,
aa,Happy User,05-05-2022,19:39:13
,,,
aa,User under pressure,05-05-2022,19:39:19
,,,
aa,User under pressure,05-05-2022,19:39:19
,,,
aa,Happy User,05-05-2022,19:39:19
,,,
aa,User under pressure,14-03-2023,12:24:09
,,,
aa,User under pressure,14-03-2023,12:24:09
,,,
aa,Happy User,14-03-2023,12:24:09
,,,
aa,User under pressure,14-03-2023,12:24:20
,,,
aa,User under pressure,14-03-2023,12:24:20
,,,
aa,Happy User,14-03-2023,12:24:20
,,,
aa,User under pressure,14-03-2023,12:24:23
,,,
aa,User under pressure,14-03-2023,12:24:23
,,,
aa,Happy User,14-03-2023,12:24:23
,,,
aa,User under pressure,14-03-2023,12:24:26
,,,
aa,User under pressure,14-03-2023,12:24:26
,,,
aa,Happy User,14-03-2023,12:24:26
,,,
aa,User under pressure,14-03-2023,12:24:31
,,,
aa,User under pressure,14-03-2023,12:24:31
,,,
aa,Happy User,14-03-2023,12:24:31
,,,
aa,User under pressure,18-03-2023,12:23:23
,,,
aa,User under pressure,18-03-2023,12:23:23
,,,
aa,Happy User,18-03-2023,12:23:23
,,,
aa,User under pressure,18-03-2023,12:23:25
,,,
aa,User under pressure,18-03-2023,12:23:25
,,,
aa,Happy User,18-03-2023,12:23:25
,,,
aa,User under pressure,01-09-2023,14:05:20
,,,
aa,User under pressure,01-09-2023,14:05:20
,,,
aa,Happy User,01-09-2023,14:05:20
,,,
aa,User under pressure,01-09-2023,14:05:24
,,,
aa,User under pressure,01-09-2023,14:05:24
,,,
aa,Happy User,01-09-2023,14:05:24
,,,
aa,User under pressure,01-09-2023,14:05:31
,,,
aa,User under pressure,01-09-2023,14:05:31
,,,
aa,Happy User,01-09-2023,14:05:31
,,,
aa,User under pressure,01-09-2023,14:05:36
,,,
aa,User under pressure,01-09-2023,14:05:36
,,,
aa,Happy User,01-09-2023,14:05:36
aa,User under pressure,21-09-2023,13:35:48
,,,
aa,User under pressure,21-09-2023,13:35:48
,,,
aa,Happy User,21-09-2023,13:35:48
,,,
aa,User under pressure,21-09-2023,13:35:55
,,,
aa,User under pressure,21-09-2023,13:35:55
,,,
aa,Happy User,21-09-2023,13:35:55
,,,
aa,User under pressure,21-09-2023,13:36:01
,,,
